id,cpf,nome_completo,emprego_atual,data_nascimento,situacao_civil,cliente_especial,rua,bairro,cidade,estado,CEP,idade
1,576.182.430-26,Pedro Sousa,Governador,1973-02-19,Casado(a),0,Via Arthur Miguel Vargas,Vila Jardim São José,Pereira,AP,45154736,51
2,894.270.316-03,João Felipe Siqueira,Figurinista,1991-04-29,Casado(a),0,Fazenda de Pimenta,Alta Tensão 1ª Seção,da Conceição da Prata,SC,84161-002,33
3,476.981.053-93,Letícia Cassiano,Designer de produto ou desenhista industrial,1983-10-23,Solteiro(a),0,Via de Lima,São Vicente,Pires de Minas,SC,23841-756,40
4,835.617.024-90,Sr. Pedro Miguel Nunes,Operador de telemarketing,1997-07-15,Casado(a),0,Morro de Ferreira,São Bernardo,Fogaça do Oeste,PI,35532640,26
5,940.532.861-15,Vinicius Pinto,Aviador,2006-05-26,Divorsiado(a),0,Viela Maria Luísa Pinto,Minas Brasil,Pires,PB,11031656,18
6,085.917.426-30,Rael Jesus,Tosador,1965-08-01,Casado(a),1,Feira João Guilherme Fonseca,Vila Atila De Paiva,Cardoso da Prata,AM,49469-612,58
7,032.569.418-42,Luiz Otávio da Costa,Técnico em edificações,1987-07-19,Solteiro(a),0,Praia Fogaça,Jardim Leblon,Sousa dos Dourados,RO,43472-350,36
8,187.263.904-69,Laura Guerra,Médico,1979-10-16,Casado(a),0,Conjunto Casa Grande,Mangabeiras,Barros Grande,PB,61518-083,44
9,241.573.690-25,Sra. Melina Brito,Gagsman,1990-05-06,Solteiro(a),0,Lago Martins,Jardim Felicidade,Cavalcante,RR,82151-150,34
10,867.402.193-03,Fernanda da Luz,Gerente de banco,1974-12-04,Solteiro(a),0,Loteamento de Aragão,Jardim São José,Albuquerque do Sul,MT,87190917,49
11,679.342.810-13,Amanda Almeida,Paparazzo,2001-07-16,Solteiro(a),0,Esplanada Alice Campos,Vila Nova Gameleira 1ª Seção,Moraes Alegre,RS,84596456,22
12,386.102.495-06,Lorenzo Ramos,Profissional de rádio e tv,1975-01-12,Casado(a),0,Distrito Kamilly da Luz,Vila Real 1ª Seção,Macedo,RR,18811-181,49
13,862.750.943-38,Srta. Mariane Ramos,Coronel,1988-09-25,Solteiro(a),0,Via Peixoto,Diamante,Monteiro,PI,71093-493,35
14,743.865.291-28,Giovanna Andrade,Vistoriador de sinistros,1965-06-17,Casado(a),0,Estrada Marcelo Cassiano,Camponesa 1ª Seção,Fonseca,PB,42785-402,58
15,672.931.504-07,Ana Clara Dias,Dançarino,1995-10-02,Casado(a),0,Viaduto Bella Leão,Guarani,Silva,AL,64141777,28
16,319.052.486-60,Heloísa Silveira,Motorista,1959-11-27,Solteiro(a),0,Viela da Rosa,Vila Trinta E Um De Março,Sá,RR,13222-488,64
17,198.572.034-50,Henry Gabriel Moraes,Zelador,1977-05-28,Solteiro(a),0,Passarela de Gomes,João Pinheiro,Ribeiro de Alves,PR,03503748,47
18,836.094.157-20,Bryan Vieira,Psicomotricista,1993-06-17,Casado(a),0,Feira Daniel Costela,Vila Bandeirantes,Ramos Alegre,TO,91366202,30
19,208.614.795-30,Daniela da Luz,Tesoureiro,1975-12-31,Solteiro(a),0,Avenida Teixeira,Grajaú,Monteiro,RR,64812-865,48
20,085.162.374-35,Sr. Antônio Ribeiro,Somelier,1988-08-07,Divorsiado(a),0,Feira Maria Alice Cavalcante,Santa Cecilia,da Conceição,PB,21896-455,35
21,362.594.781-19,Heitor Pires,Químico,1993-01-11,Divorsiado(a),0,Aeroporto de Rezende,Vila Betânia,das Neves,MA,81632-193,31
22,619.735.840-93,Matheus da Luz,Pescador,1971-03-05,Solteiro(a),0,Avenida Fernanda Cirino,Vila Nova Gameleira 1ª Seção,Araújo de Carvalho,MS,53813-266,53
23,765.382.941-46,Manuela da Luz,Jangadeiro,1973-03-15,Divorsiado(a),0,Rua Isabel Jesus,Caetano Furquim,Gonçalves do Oeste,ES,22413806,51
24,310.854.729-14,Bella Borges,Controlador de vôo,1960-07-01,Casado(a),0,Chácara Ana Silva,Lagoinha Leblon,da Rocha Alegre,PA,89070688,63
25,093.481.256-05,Miguel Borges,Teólogo,1977-01-24,Divorsiado(a),0,Praia Vasconcelos,Tiradentes,Sampaio,ES,03808-855,47
26,187.320.495-79,Paulo Martins,Mototaxista,1972-11-19,Divorsiado(a),0,Rodovia de Andrade,Alto Dos Pinheiros,Almeida de Nascimento,PB,50407735,51
27,241.593.870-04,Emanuella da Mata,Engenheiro de supply chain ou logística,1964-04-18,Solteiro(a),1,Passarela Vasconcelos,União,Vieira de Minas,RN,51308719,60
28,804.193.752-79,Lorenzo Silva,Zootecnista,1996-06-22,Casado(a),0,Esplanada Juan da Conceição,Castanheira,Barbosa do Norte,ES,95884-101,27
29,579.023.416-06,André Montenegro,Astrólogo,1988-03-13,Solteiro(a),0,Jardim de Cunha,Vila Da Paz,Correia,RN,13671-056,36
30,640.512.378-26,Bella das Neves,Dogueiro,1983-02-07,Casado(a),0,Chácara de da Cruz,Vila Bandeirantes,Moraes,ES,25735170,41
31,546.329.078-47,Dr. Dom Duarte,Jornalista,1972-08-19,Solteiro(a),0,Vereda de Vasconcelos,Vera Cruz,Martins Verde,SE,47958862,51
32,140.326.985-89,Dr. Augusto Barros,Jornaleiro,1970-07-24,Divorsiado(a),1,Vila Luara Ramos,Vila Novo São Lucas,Porto dos Dourados,RS,21122339,53
